transcription,LaTeX,Source,whisper_base_predSE,whisper_medium_predSE
the integral from zero to infinity dx over x minus three squared,$\displaystyle \int_{0}^{\infty}\frac{dx}{(x-3)^{2}}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,The integral from 0 to infinity dx over x minus 3 squared.,The integral from 0 to infinity dx over x minus 3 squared.
1 plus a plus a squared,$\mathrm{{1}+a+a^{2}}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,1 plus a plus a squared.,It's 1 plus a plus a squared.
1 over 1 minus a,$\frac{1}{1-a}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,1 over 1 minus a.,It's 1 over 1 minus a.
 sum 1 over n squared n equals 1 to infinity,$\sum_{n=1}^{\infty}{1/n^{2}}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,"to sum 1 over n squared, n equals 1 to infinity.","to sum 1 over n squared, n equals 1 to infinity."
pi squared over 6,$\frac{\pi^{2}}{6}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,pi squared over 6.,Pi squared over 6.
 1 over n cubed,$\frac{1}{n^{3}}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,One over and cubed.,1 over n cubed.
1 plus 1 over 2 plus all the way up to 1 over n minus 1 plus 1 over n,$1+\frac{1}{2}+\mathrm{\ldots}+\frac{1}{n-1}+\frac{1}{n}$,https://www.youtube.com/watch?v=MK_0QHbUnIA,1 plus 1 over 2 plus all the way up to 1 over n minus 1 plus 1 over n.,1 plus 1 over 2 plus all the way up to 1 over n minus 1 plus 1 over n.
sum 1 over n squared plus 1 square root,$\sum\frac{1}{\sqrt{n^{2} + 1}}$ ,https://www.youtube.com/watch?v=MK_0QHbUnIA,some 1 over n squared plus 1 squared root.,Sum 1 over n squared plus 1 square root.
1 over n to the 5th square root,$(1/\sqrt{n^{5}})$,https://www.youtube.com/watch?v=MK_0QHbUnIA,1 over into the fifth square root.,1 over n to the fifth square root.
n plus 1 times c n plus 1 divided by n plus 1,$(n+1)c_{n+1}/(n+1)$,https://www.youtube.com/watch?v=wOHrNt9ScYs,n plus 1 times cn plus 1 divided by n plus 1.,n plus 1 times cn plus 1 divided by n plus 1.
1 over 1 minus x,$\frac{1}{1-x}$,https://www.youtube.com/watch?v=wOHrNt9ScYs,1 over 1 minus x.,1 over 1 minus x.
s times one minus x,$s\cdot(1-x)$,https://www.youtube.com/watch?v=wOHrNt9ScYs,S times 1 minus x.,S times 1 minus x.
 minus r less than x less than r,$-r<x<r$,https://www.youtube.com/watch?v=wOHrNt9ScYs,minus r less than x less than r.,Minus r less than x less than r.
 sum a n x to the n,$\sum {a_n}x^{n}$,https://www.youtube.com/watch?v=wOHrNt9ScYs,some ANX to the N.,Sum a n x to the n.
 a1 x squared over 2,$\frac{\mathbb{a_1} x^{2}}{2}$,https://www.youtube.com/watch?v=wOHrNt9ScYs,A1 x squared over 2.,a 1 x squared over 2.
a zero plus a one x plus a two x squared plus a three x cubed plus dot dot dot,$\displaystyle \mathcal{a}_{0}+\mathcal{a}_{1}x+\mathcal{a}_{2}x^{2}+\mathcal{a}_{3}x^{3}+\cdots$,https://www.youtube.com/watch?v=wOHrNt9ScYs,A0 plus A1x plus A2x squared plus A3x cubed plus A2x cubed plus A2x squared plus A2x squared plus A3x cubed plus A2x squared plus A3x squared,a 0 plus a 1 x plus a 2 x squared plus a 3 x cubed plus
 a n is equal to f nth derivative divided by n factorial,$a_n\mathrel{\mathop{}}=\frac{f^{n}}{n!}$,https://www.youtube.com/watch?v=wOHrNt9ScYs,A n is equal to f n's derivative divided by n factorial.,An is equal to f nth derivative divided by n factorial.
the sum n equals 0 to infinity of 1 divided by n factorial x to the n,$\sum_{n=0}^{\infty}\frac{1}{n!}x^{n}$,https://www.youtube.com/watch?v=wOHrNt9ScYs,The sum n equals 0 to infinity of 1 divided by n factorial x to the n.,The sum n equals 0 to infinity of 1 divided by n factorial x to the n.
 x minus x cubed over 3 factorial plus x to the 5th over 5 factorial,$x-\frac{x^{3}}{3!}+\frac{x^{5}}{5!}$,https://www.youtube.com/watch?v=wOHrNt9ScYs,x minus x cubed over 3 factorial plus x to the fifth over 5 factorial minus.,x minus x cubed over 3 factorial plus x to the fifth
x to the seventh over seven factorial,$x^{7}/7!$,https://www.youtube.com/watch?v=wOHrNt9ScYs,x to the seventh over seven factorial.,x to the 7th over 7 factorial.
x to the fourth over four factorial,$x^{4}/4!$,https://www.youtube.com/watch?v=wOHrNt9ScYs,Next to the fourth over four factorial.,x to the fourth over 4 factorial.
1 over 2 factorial times x squared plus 1 over 3 factorial times x cubed ,$\displaystyle{1\over2!}x^{2}+{1\over3!}x^{3}$,https://www.youtube.com/watch?v=--lPz7VFnKI,1 over 2 factorial times x squared plus 1 over 3 factorial times x cubed.,1 over 2 factorial times x squared plus 1 over 3 factorial times x cubed.
1 over 1 plus x,$\frac{1}{1+x}$,https://www.youtube.com/watch?v=--lPz7VFnKI,1 over 1 plus x.,1 over 1 plus x.
x over 2n plus 1,$\frac{x}{2n+1}$,https://www.youtube.com/watch?v=--lPz7VFnKI,x over 2n plus 1.,x over 2n plus 1.
x times the sine of x,$x\mathinner{\sin\left(x\right)}$,https://www.youtube.com/watch?v=--lPz7VFnKI,X times the sine of X.,x times the sine of x.
x squared minus x to the fourth over three factorial plus x to the sixth over five factorial,$x^{2}-\frac{x^{4}}{3!}+\frac{x^{6}}{5!}$,https://www.youtube.com/watch?v=--lPz7VFnKI,x squared minus x to the fourth over 3 factorial plus x to the sixth over 5 factorial.,x squared minus x to the fourth over 3 factorial plus x to the sixth over 5 factorial.
the integral from zero to x of dt over one plus x,$\int_{0}^{x}\frac{dt}{1+x}$,https://www.youtube.com/watch?v=--lPz7VFnKI,The integral from zero to x of dT over 1 plus x.,The integral from 0 to x of dt over 1 plus x.
 1 minus t plus t squared minus t cubed ,$1-t+t^{2}-t^{3}$,https://www.youtube.com/watch?v=--lPz7VFnKI,1 minus t plus t squared minus t cubed.,1 minus t plus t squared minus t cubed.
x minus x squared over two plus x cubed over three minus x to the fourth over four,$x-x^{2}/2+x^{3}/3-x^{4}/4$,https://www.youtube.com/watch?v=--lPz7VFnKI,x minus x squared over 2 plus x cubed over 3 minus x to the 4th over 4.,x squared over 2 plus x cubed over 3 minus x to the fourth over 4.
x equals minus t squared,$x=-t^{2}$,https://www.youtube.com/watch?v=--lPz7VFnKI,x equals minus t squared.,x equals minus t squared.
t to the fourth over two factorial,$\frac{t^{4}}{2!}$,https://www.youtube.com/watch?v=--lPz7VFnKI,T to the fourth over two factorial.,T to the fourth over two factorial.
two over the square root of pi ,$2/\sqrt{\pi}$,https://www.youtube.com/watch?v=--lPz7VFnKI,2 over the squirt of pi,2 over the square root of pi.
 integral of e to the minus t squared dt from 0 to x,$\int_{0}^{x}(e^{-t^{2}})dt$,https://www.youtube.com/watch?v=--lPz7VFnKI,integral of e to the minus t squared dt from 0 to x.,the integral of e to the minus t squared dt from 0 to x.
x minus x cubed over 3 ,$x-\frac{x^{3}}{3}$,https://www.youtube.com/watch?v=--lPz7VFnKI,x minus x cubed over 3.,x minus x cubed over 3.
5 times 2 factorial,$5\cdot2!$,https://www.youtube.com/watch?v=--lPz7VFnKI,5 times 2 factorial.,5 times 2 factorial.
minus x to the seventh over seven times three factorial,$-\frac{x^{7}}{7\cdot3!}$,https://www.youtube.com/watch?v=--lPz7VFnKI,minus x to the seventh over seven times three factorial.,minus x to the seventh over seven times three factorial.
z of t minus two equals minus three t,$z(t-2)=-3t$,https://www.youtube.com/watch?v=57jzPlxf4fk,z of t minus 2 equals minus 3t.,z of t minus two equals minus three t.
minus one plus two t,$\displaystyle -1+2t$,https://www.youtube.com/watch?v=57jzPlxf4fk,minus 1 plus 2t.,minus 1 plus 2t.
x plus two y plus four z equals seven,$x+2y+4z=7$,https://www.youtube.com/watch?v=57jzPlxf4fk,x plus 2y plus 4z equals 7.,x plus 2y plus 4z equals 7.
x of t plus twice y of t plus four z of t,$x(t)+2y(t)+4z(t)$,https://www.youtube.com/watch?v=57jzPlxf4fk,x of t plus twice y of t plus 4 z of t.,y of t plus four z of t.
minus one plus two t plus twice two plus t plus four times two minus three t,$-1+2t+2(2+t)+4(2-3t)$,https://www.youtube.com/watch?v=57jzPlxf4fk,minus 1 plus 2t plus twice 2 plus t plus 4 times 2 minus 3t.,minus one plus 2t plus twice 2t plus four times 2 minus 3t.
 minus 8t plus 11 equals 7,$-8t+11=7$,https://www.youtube.com/watch?v=57jzPlxf4fk,minus 8t plus 11 equals 7.,minus 8t plus 11 equals 7.
 minus one plus two t will be zero,$-1+2t=0\operatorname{}$,https://www.youtube.com/watch?v=57jzPlxf4fk,minus 1 plus 2t will be 0.,Minus one plus 2t will be zero.
a minus a cosine theta,$a-a\cos\theta$,https://www.youtube.com/watch?v=57jzPlxf4fk,A minus A cosine theta.,A minus A cosine theta.
x of theta is theta minus sine theta,$x(\theta)=\theta-\sin\theta$,https://www.youtube.com/watch?v=57jzPlxf4fk,X of theta is theta minus sine theta.,x of theta is theta minus sine theta.
t squared over two ,$\frac{t^{2}}{2}$,https://www.youtube.com/watch?v=57jzPlxf4fk,t square over 2.,t squared over two.
theta minus theta cubed over six,$\theta-\frac{\theta-\theta^{3}}{6}$,https://www.youtube.com/watch?v=57jzPlxf4fk,theta minus theta minus theta cubed over 6.,theta minus theta minus theta cubed over six.
 t minus sine t,$t-\sin t$,https://www.youtube.com/watch?v=0D4BbCa4gHo,T minus sine T.,t minus sine t.
square root of one minus cosine t squared plus sine squared t,$\sqrt{1-\cos^{2}t+\sin^{2}t}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,squared plus sine squared t.,square root of one minus cosine t squared plus sine square t.
 square root of one minus two cosine t plus cosine squared t plus sine squared t,$\displaystyle \sqrt{1-2\cos t+\cos^{2}t+\sin^{2}t}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,squared root of 1 minus 2 cosine t plus cosine square t plus sine square t.,square root of one minus two cosine t plus cosine square t plus sine square t.
square root of two minus two cosine t,$\sqrt{2-2\cos t}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,square root of 2 minus 2 cosine t.,root of 2 minus 2 cosine t.
F equals ma,$\mathcal{F}=\mathcal{ma}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,F equals MA.,F equals ma.
 v divided by magnitude of v,$v/||v||$,https://www.youtube.com/watch?v=0D4BbCa4gHo,V divided by magnitude of V.,V divided by magnitude of V.
 uv prime equals u prime v plus u v prime ,$(uv)^{\prime}=u^{\prime}v+uv^{\prime}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,uv prime equals u prime v plus uv prime.,uv prime equals u prime v plus uv prime.
dr dt cross v plus r cross dv dt,$\displaystyle\frac{d\mathbf{r}}{dt}\times\mathbf{v}+\mathbf{r}\times\frac{d\mathbf{v}}{dt}$,https://www.youtube.com/watch?v=0D4BbCa4gHo,dR dT cross V plus R cross dV dT.,dR dt cross v plus R cross dv dt.
determinant of A is not zero,$\det(A)\neq0$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,The determinant of A is not zero.,determinant of A is not zero.
 x plus 3y plus z equals zero,$x+3y+z=0.$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,x plus free y plus z equals zero.,x plus free y plus z equals zero.
 x plus y equals zero,$x+y=0$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,x plus y equals 0.,x plus y equals zero.
 minus 2x minus z will be x plus 3y plus z,$-2x-z\operatorname{=}x+3y+z$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,minus 2x minus z will be x plus 3y plus z.,2x minus z will be x plus free y plus z.
x plus y plus two z,$\displaystyle x+y+2z$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,x plus y plus 2z.,x plus y plus 2z.
dr dt dot r plus r dot dr dt,$\frac{dr}{dt}\cdot r+r\cdot\frac{dr}{dt}$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,dR dt dot 1 plus 1 dot dR dt.,dr dt dot r plus r dot dr dt.
r dot v is zero,$\displaystyle \mathbf{r}\cdot\mathbf{v}=0$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,r dot v is 0.,r dot v is zero.
r is perpendicular to v,$\displaystyle \textbf{r}\operatorname{\perp} \mathcal{v}$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,I hope it doesn't go down that clearly.,"So, R is perpendicular to v."
dr dt is v dot v plus r dot dv dt is going to be zero,$ \frac{dr}{dt}=v{{\cdot}}v+r\cdot\frac{dv}{dt}=0$,https://www.youtube.com/watch?v=U1EcnfTKXJ0,dR dt is v dot v plus R dot dV dt is going to be 0.,The r dt is v dot v plus r dot dv dt is going to be zero.
 f of x y equals one over x plus y,"$f(x,y)=\frac{1}{x+y}$",https://www.youtube.com/watch?v=dK3NEf13nPc,f of xy equals one of our x plus y.,"f of x, y equals one over x plus y."
z equals f of x y,"${z}=f(x,y)$",https://www.youtube.com/watch?v=dK3NEf13nPc,Let's say z equals f of xy.,"Let's say z equals f of x, y."
"f of x, y equals one minus x squared minus y squared","$f(x,y)=1-x^{2}-y^{2}$",https://www.youtube.com/watch?v=dK3NEf13nPc,f of xy equals 1 minus x squared minus y squared.,"f of x, y equals 1 minus x squared minus y squared."
z equals one minus x squared minus y squared,$z=1-x^{2}-y^{2}$,https://www.youtube.com/watch?v=dK3NEf13nPc,z equals 1 minus x square minus y square,z equals 1 minus x squared minus y squared.
f of x y equals minus y,"$f(x,y)=-y$",https://www.youtube.com/watch?v=dK3NEf13nPc,f of xy equals minus y.,"F of x, y equals minus y."
x squared plus y squared equals zero,$x^{2}+y^{2}=0$,https://www.youtube.com/watch?v=dK3NEf13nPc,x squared plus y squared equals zero.,x squared plus y squared equals zero.
f prime at x0 times delta x,$f^{\prime}(x_{0})\times\Delta x$,https://www.youtube.com/watch?v=dK3NEf13nPc,of f prime at x 0 times delta x y.,f prime at x0 times delta x.
x0 plus h,$\mathcal{x}_{0}+h$,https://www.youtube.com/watch?v=dK3NEf13nPc,x is 0 plus h.,X zero plus H.
 z0 plus a times x minus x0 plus b times y minus y0,$z_0+a(x-x_0)+b(y-y_0)$,https://www.youtube.com/watch?v=UYe98CcxPbs,z0 plus a times x minus x0 plus b times y minus y0.,z0 plus a times x minus x0 plus b times y minus y0.
 x squared minus 2xy,$x^{2}-2xy$,https://www.youtube.com/watch?v=UYe98CcxPbs,x square minus 2xy.,x squared minus 2xy.
 x minus y squared,$(x -y^{2})$,https://www.youtube.com/watch?v=UYe98CcxPbs,x minus y squared.,x minus y squared.
2x minus 2y,$\displaystyle 2x-2y$,https://www.youtube.com/watch?v=UYe98CcxPbs,2x minus 2y,2x minus 2y.
 twice x minus y,$2\mathrm{(x - y)}$,https://www.youtube.com/watch?v=UYe98CcxPbs,twice x minus y.,
 x minus y plus one squared,$(x-y+1)^{2}$,https://www.youtube.com/watch?v=UYe98CcxPbs,x minus y plus 1 squared.,x minus y plus one squared.
axi plus b,$\mathtt{ax_i+b}$,https://www.youtube.com/watch?v=UYe98CcxPbs,AXI plus B.,a xi plus b.
 yi minus axi,$y_{i}-ax_{i}$ ,https://www.youtube.com/watch?v=UYe98CcxPbs,Why I minus AXI?,y i minus a x i
xi squared times a plus xi times b ,$x_i^2\times a+x_i\times b$,https://www.youtube.com/watch?v=UYe98CcxPbs,x i squared times a plus x i times b.,xi squared times a plus xi times b.
sum of xi yi,$\mathsf{\sum_{i}(x_{i} y_{i})}$,https://www.youtube.com/watch?v=UYe98CcxPbs,"Some of x, i, y, i, u.","sum of xi, yi."
 y equals a constant times exponential of a times x,$y=\text{c}\exp(ax)$,https://www.youtube.com/watch?v=UYe98CcxPbs,Y equals constant times exponential of A times X.,equals a constant times exponential of a times x.
a x squared plus b x plus c,$ax^{2}+bx+c$,https://www.youtube.com/watch?v=UYe98CcxPbs,x squared plus bx plus c.,a x squared plus b x plus c.
a x squared plus b xy plus c y squared,$ay^{2}+bxy+cy^{2}$,https://www.youtube.com/watch?v=3_goGnJm5sA,A x squared plus b xy plus cy squared.,a x squared plus b x y plus c y squared.
x squared plus 2xy,$x^{2}+2xy$,https://www.youtube.com/watch?v=3_goGnJm5sA,x squared plus 2 x y.,x squared plus 2xy.
a times x squared plus b over a xy,$a(x^{2}+\frac{b}{a}xy)$,https://www.youtube.com/watch?v=3_goGnJm5sA,A times x squared plus B over A x y.,"a times x squared plus b over a x, y."
b squared over 4a y squared,$\frac{b^2}{4a}y^{2}$,https://www.youtube.com/watch?v=3_goGnJm5sA,This square over 4A y squared.,b squared over 4a y squared.
a times x squared plus a times 2xb over 2ay,$ax^{2}+a\frac{2xb}{2ay}$,https://www.youtube.com/watch?v=3_goGnJm5sA,A times x squared plus A times 2x be over 2y.,a times x squared plus a times 2x b over 2ay.
b squared over 4 a squared y squared plus cy squared minus b squared over 4 a y squared,$\displaystyle \frac{b^{2}}{4a^{2}}y^{2}+cy^{2}-\frac{b^{2}}{4a}y^{2}$,https://www.youtube.com/watch?v=3_goGnJm5sA,squared over 4a squared y squared plus c y squared minus b squared over 4a y squared.,b squared over 4a squared y squared plus c y squared minus b over 4a y squared.
one over four a,$\frac{1}{4a}$,https://www.youtube.com/watch?v=3_goGnJm5sA,one over 4a,1 over 4a.
four ac minus b squared y squared,$4ac-b^{2}y^{2}$,https://www.youtube.com/watch?v=3_goGnJm5sA,for AC minus B squared Y squared.,4ac minus b squared y squared.
u equals x plus b over two ay,$u =x+\frac{b}{2a}y$ ,https://www.youtube.com/watch?v=3_goGnJm5sA,u equals x plus b over 2a y.,u equals x plus b over 2ay.
four a c minus b squared equals zero,$4ac-b^{2}=0$,https://www.youtube.com/watch?v=3_goGnJm5sA,4 AC minus B squared equals 0.,4ac minus b squared equals zero.
 f of x equals x to the five,$f(x)=x^{5}$,https://www.youtube.com/watch?v=3_goGnJm5sA,f of x equals x to the 5.,f of x equals x to the five.
 a times x plus b over 2a times y squared,$\displaystyle a(x+\frac{b}{2a}y)^{2}$,https://www.youtube.com/watch?v=3_goGnJm5sA,A times x plus v over 2a times y squared.,a times x plus b over 2a times y squared.
y squared times a times x over y squared,$y^{2}a(x/y)^{2}$,https://www.youtube.com/watch?v=3_goGnJm5sA,1 squared times a times x of y squared.,y squared times a times x over y squared.
a t squared plus b t plus c,$at^{2}+bt+c$,https://www.youtube.com/watch?v=3_goGnJm5sA,A t square plus b t plus c.,at squared plus bt plus c.
ax over y squared plus bx over y plus c,$a(x/y)^{2}+b(x/y)+c$ ,https://www.youtube.com/watch?v=3_goGnJm5sA,A x over y squared plus b x over y plus c.,a x over y squared plus b x over y plus c.
w sub y is bx plus 2cy,$w_y=bx+{2}cy$,https://www.youtube.com/watch?v=3_goGnJm5sA,W sub y is bx plus 2Cy.,W sub y is bx plus 2cy.
 x minus x zero squared,$(x-x_{0})^{2}$,https://www.youtube.com/watch?v=3_goGnJm5sA,x minus x zero squared.,x minus x zero squared.
f sub xy times change in x times change in y plus one half of fyy times y minus y0 squared,$\displaystyle f_{xy}\cdot\Delta x\cdot\Delta y+\frac{1}{2}f_{yy}(y-y_{0})^{2}$,https://www.youtube.com/watch?v=3_goGnJm5sA,xy times changing x times changing y plus 1 half of fyy times y minus y0 squared.,"f sub x, y times change in x times change in y plus one half of f y, y times y minus y0 squared."
 f of x y equals x plus y plus 1 over xy,"$f(x,y)=x+y+\frac{1}{xy}$",https://www.youtube.com/watch?v=3_goGnJm5sA,f of xy equals x plus y plus one other xy.,"F of x, y equals x y 1 over x y."
two over x cubed y,$\operatorname{\frac{2}{(x^{3}y)}}$,https://www.youtube.com/watch?v=3_goGnJm5sA,2 over x cubed y.,2 over x cubed y.
 two over xy cubed,$\frac{2}{xy^{3}}$,https://www.youtube.com/watch?v=3_goGnJm5sA,2 over xy cubed.,over xy cubed.
dy equals f prime of x times dx,$dy=f^{\prime}(x)dx$,https://www.youtube.com/watch?v=7eZVshlT33Q,d y equals f prime of x times dx.,dy equals f prime of x times dx.
dy over dx is going to be one over cosine y,$\mathrm{\frac{\mathrm{d}y}{dx}}\rightarrow\frac{1}{\cos y}$,https://www.youtube.com/watch?v=7eZVshlT33Q,over dx is going to be one over cosine y.,dy over dx is going to be one over cosine y.
one over square root of one minus x squared,$\frac{1}{\sqrt{(1-x^{2})}}$,https://www.youtube.com/watch?v=7eZVshlT33Q,one of the square root of one minus x squared.,one over square root of one minus x squared.
